AL,alabama,9
AK,alaska,3
AZ,arizona,11
AR,arkansas,6
CA,california,55
CO,colorado,9
CT,connecticut,7
DC,DC,3
DE,delaware,3
FL,florida,29
GA,georgia,16
HI,hawaii,4
ID,idaho,4
IL,illinois,20
IN,indiana,11
IA,iowa,6
KS,kansas,6
KY,kentucky,8
LA,louisiana,8
ME,maine,4
MD,maryland,10
MA,massachusetts,11
MI,michigan,16
MN,minnesota,10
MS,mississippi,6
MO,missouri,10
MT,montana,3
NE,nebraska,5
NV,nevada,6
NH,new-hampshire,4
NJ,new-jersey,14
NM,new-mexico,5
NY,new-york,29
NC,north-carolina,15
ND,north-dakota,3
OH,ohio,18
OK,oklahoma,7
OR,oregon,7
PA,pennsylvania,20
RI,rhode-island,4
SC,south-carolina,9
SD,south-dakota,3
TN,tennessee,11
TX,texas,38
UT,utah,6
VT,vermont,3
VA,virginia,13
WA,washington,12
WV,west-virginia,5
WI,wisconsin,10
WY,wyoming,3